topic	status	working_decision_or_state	guard_or_next_action
wake_second_asangani_correction	WORKING-CLOSE	Include Asanagi in first-assault participation baseline; Yūnagi belongs to later reinforcement layer	Do not double-count destroyers
wake_second_carrier_ready	WORKING	CarDiv2 immediate-ready before Dec22 Saratoga strike ~90-94 aircraft class	Later per-carrier serial ledger may refine
h7y_wake_reuse	WORKING-CLOSE	Reuse H7Y for Wake E/NE outer-ocean U.S. carrier search, not Wake-local reconnaissance	One aircraft at a time; flash report over long shadowing
h7y_tf14_contact	WORKING	Dec21 H7Y finds TF14 / Saratoga relief axis; probable Saratoga identification	Lexington remains unlocated
us_wake_relief_two_carrier	WORKING-CLOSE	Saratoga direct relief carrier; Lexington separate distant support rather than same concentrated TF	No mutual CAP at initial contact
carDiv2_dec22_strike	WORKING	~52-aircraft package = A6M12 / D3A20 / B5N20 class	Retain CAP/reserve because Lexington missing
saratoga_dec22_hits	WORKING-CLOSE	2 bomb +1 Type91 Mod2 torpedo hit; afloat; offensive flight ops disabled	No fuel-magazine catastrophe or critical shaft/steering hit by default
saratoga_torpedo_location	WORKING	Port-midships torpedo-defense/boiler-region hit; one boiler room serious flooding; adjacent partial flooding	Holding boundary holds
saratoga_bomb_damage	WORKING	One flight-deck/hangar hit + one port-edge/gallery/hangar-side hit	Local aviation/electrical/ventilation damage
saratoga_speed_poststrike	WORKING	18-20kt initial; 22-24kt sustainable after isolation/dewatering if stable	Re-run if machinery boundary changes
saratoga_casualties	WORKING	KIA35-50 / WIA70-100 class	Use band, not exact archival claim
japanese_saratoga_bda	WORKING-CLOSE	Severely damaged / flight ops stopped / still afloat; sinking not confirmed	Follow-up recon corrects optimistic claims
us_counterstrike_cardiv2	WORKING	Improvised ~18 SBD +8 TBD class; central one Japanese carrier takes one bomb hit	Exact carrier hit remains open
wake_dec23_us_air	WORKING	2 F4F flyable at dawn, one possibly marginal	Eliminated after limited morning effect
wake_dec23_wilkes	WORKING-CLOSE	Wilkes landing group effectively destroyed / neutralized; Wilkes still holds during morning	Main-island fight continues
wake_dec23_comms	WORKING	Wilkes success reaches main command; historical early surrender misappraisal reduced	Does not restore outside relief
wake_fall_dec23	WORKING-CLOSE	Wake falls afternoon ~14:00-16:00 local central	Evening/Dec24 resistance remains tail
saratoga_repair	WORKING	Pearl stabilization -> Puget Sound permanent repair; combat re-entry Mar5-15 center	Broad band late Feb-early Apr
japan_us_carrier_intel_jan	WORKING-CLOSE	Enterprise and Saratoga alive but repair-bound; Lexington active; Yorktown transfer increasingly plausible; Hornet known but immature	Do not infer exact U.S. carrier location from existence
carDiv2_regeneration	WORKING	Kure return Dec30-31 class; local bomb repair 5-10d if retained; major-operation re-entry Jan16-18 center	Aircraft count recovers faster than veteran aircrew cohesion
us_carrier_postwake	WORKING	Lexington principal ready carrier until Yorktown arrival/workup; Enterprise/Saratoga repair; survivor air groups may be redistributed	Do not conjure hulls by radio deception
southern_ops_carrier_freedom	WORKING-CLOSE	Enterprise unavailability buys mainly reduced reserve anxiety / selected weeks of second-phase flexibility, not months of first-phase acceleration	Shipping/Army/base clocks remain binding
airlift_method	WORKING-CLOSE	Track accepted/extant/released/assigned/ready/forward separately; no generic logistics scalar	Use per-base missing-item gate
airlift_conventional_subtotal	WORKING-CLOSE	Audited conventional transport subtotal 418 national /98 Southern assigned /77 ready /58 routine-ready after airborne reservations	Scenario working center, not total of every Japanese transport aircraft
