id	status	clock	subject	decision/result	guard
V23-001	WORKING-CLOSED	1945 Jan	Soviet winter offensive	Offensive occurs but is narrower/more staged than historical Vistula-Oder; tactical breakthrough remains possible	Historical January collapse is not auto-imported
V23-002	WORKING-CLOSED	1945 Jan-Feb	German mobile-defense behavior	Preserved reserves counterstroke extended Soviet mobile echelons; territorial retreat continues but army-group collapse is avoided	Do not convert local counterstroke success into strategic Soviet collapse
V23-003	ACCEPTED	1945	Soviet limiting resource	State-level manpower/equipment exhaustion remains distant; experienced crews/cadres/engineers/pilots/maintainers and fresh second-echelon depth become binding constraints	Hardware replacement and human-capital replacement are separate
V23-004	ACCEPTED	1945-04-25	Soviet-Japanese Neutrality Pact	Neither side denounces by the gate; pact auto-extends	Does not imply permanent friendship or zero Far-East forces
V23-005	WORKING-CLOSED	1945 spring	German limited offensive option	Germany can conduct another limited operational counterstroke/raid before new Soviet qualitative reinforcement fully arrives	Repeated use consumes German Panzergrenadiers/junior leaders and cannot be free
V23-006	WORKING-CLOSED	1945 summer	Soviet strategic adaptation	Main effort shifts toward Romania/Ploiesti/resource-alliance erosion rather than repeating maximal central deep races	Soviet operational art remains adaptive
V23-007	WORKING-CLOSED	1945 summer	Romania	Romania exits Axis after renewed Soviet pressure; Ploiesti is lost to German system; main German formations avoid historical-scale southern annihilation	Political exit and battlefield losses are separate ledgers
V23-008	WORKING-CLOSED	1945 autumn	Hungary	Germany preempts/blocks a Horthy-style exit sufficiently to keep the front from immediately flipping, at the cost of security/occupation burden	Do not assume Hungarian Army remains 100% reliable
V23-009	WORKING-CLOSED	1945 H2	German late technology	Multi-family jet ecosystem and Type XXI service mature further; HeS 011-class enters low-rate/service-development range; no mass speculative Luft-46	Capability is not mass procurement
V23-010	ACCEPTED	1946 early	Armistice diplomacy	Berlin explores a general all-front armistice through Sweden/Switzerland/Japan rather than a West-only separate peace	Channels carry proposals; they do not clone trust or guarantees
V23-011	WORKING-CLOSED	1946 spring	German second armistice position	Germany offers withdrawal from non-German occupied territories and major military limits in exchange for state continuity/non-total occupation	First offer is insufficient; second becomes negotiation basis
V23-012	WORKING-CLOSED	1946 May-Jun	General European Armistice	General armistice enters force in this time class; formal final peace remains unresolved	Exact signing day remains local/open
V23-013	WORKING-CLOSED	1946 armistice	Austria / Sudetenland	Austria separates/re-establishes independence; Sudeten territory returns to Czechoslovak sovereignty	Minority/property settlement remains open
V23-014	WORKING-CLOSED	1946 armistice	East Prussia	Final sovereignty deferred; armistice center uses demilitarization/inspection rather than immediate final forced settlement	Final border remains OPEN
V23-015	WORKING-CLOSED	1946 armistice	German armed forces	German national military survives in sharply reduced/limited form; no immediate total disarmament	Final permanent ceiling remains OPEN
V23-016	WORKING-CLOSED	1946 armistice	War crimes / detainees	No blanket amnesty; humanitarian access, release/return, evidence preservation and later judicial questions are opened	Top-level final judicial settlement remains OPEN
V23-017	OPEN	post-armistice	France / German regime / long-term Europe	French reintegration, Hitler lifespan/succession, German internal reconfiguration and permanent European security architecture not closed	Do not auto-run postwar history
V23-018	OPEN	post-armistice	East Asia	Japanese nuclear timeline, Chinese Civil War and possible Japan/USSR intervention remain future branches	Do not auto-import historical 1945 Soviet Manchurian war
V23-019	FRONTIER-PARENT	1939-1940	retro audit	Broad upstream reassessment opened; refined by V23-021 after full source recovery	No backflow from 1945-46 outcomes
V23-020	ACCEPTED	2026-09-20	source package recovery	Original V22B ZIP and source-v22b-full-exact are verified complete and byte-identical at 1,122 files / 27,856,505 bytes; use exact mirror for source reconstruction	Exact-source presence does not promote superseded/OPEN files over scenario precedence
V23-021	CURRENT-FRONTIER	1939-1941	repair + technology recovery	Audit partial-import-era damage/mis-inference, recover omitted technical/production/fielding ledgers, then close the 1941-05 state before returning to China/Indochina/carrier operations	Do not interpolate historical aircraft data or annual production into May 1941 without local gates
